Date,Name,Year,Letterboxd URI
2022-02-28,Superman,1978,https://boxd.it/27Qm
2022-02-28,Fantastic Four,2015,https://boxd.it/5a9c
2022-02-28,Scanners,1981,https://boxd.it/1YqE
2022-02-28,Charlie's Angels,2019,https://boxd.it/gogo
2022-02-28,The Predator,2018,https://boxd.it/bDw2
2022-02-28,The Hitchhiker's Guide to the Galaxy,2005,https://boxd.it/20VE
2022-02-28,Invasion of the Body Snatchers,1978,https://boxd.it/1SWk
2022-02-28,Shin Godzilla,2016,https://boxd.it/a9lm
2022-02-28,Jupiter Ascending,2015,https://boxd.it/2Evm
2022-02-28,Tomorrowland,2015,https://boxd.it/4YaC
2022-02-28,Zathura: A Space Adventure,2005,https://boxd.it/21mq
2022-02-28,Transformers: Age of Extinction,2014,https://boxd.it/3d1m
2022-02-28,Galaxy Quest,1999,https://boxd.it/29gq
2022-02-28,Godzilla,1954,https://boxd.it/28kc
2022-02-28,Terminator 3: Rise of the Machines,2003,https://boxd.it/2aES
2022-02-28,Midnight Special,2016,https://boxd.it/7dmi
2022-02-28,Idiocracy,2006,https://boxd.it/20RW
2022-02-28,Tetsuo: The Iron Man,1989,https://boxd.it/ZoM
2022-02-28,28 Weeks Later,2007,https://boxd.it/28Bi
2022-02-28,Dark City,1998,https://boxd.it/26uk
2022-02-28,The Book of Eli,2010,https://boxd.it/1Dnu
2022-02-28,Terminator Genisys,2015,https://boxd.it/35s0
2022-02-28,The Happening,2008,https://boxd.it/200o
2022-02-28,Ender's Game,2013,https://boxd.it/2N9Y
2022-02-28,"Honey, I Shrunk the Kids",1989,https://boxd.it/1YTw
2022-02-28,eXistenZ,1999,https://boxd.it/27Ni
2022-02-28,Mad Max Beyond Thunderdome,1985,https://boxd.it/1YTm
2022-02-28,Black Mirror: White Christmas,2014,https://boxd.it/B3qu
2022-02-28,Terminator Salvation,2009,https://boxd.it/2abQ
2022-02-28,Superman Returns,2006,https://boxd.it/28J2
2022-02-28,The Brood,1979,https://boxd.it/1ovS
2022-02-28,Hellboy,2019,https://boxd.it/gjaA
2022-02-28,The Abyss,1989,https://boxd.it/26mK
2022-02-28,Black Mirror: Nosedive,2016,https://boxd.it/hK9G
2022-02-28,Jumper,2008,https://boxd.it/20ss
2022-02-28,The Endless,2017,https://boxd.it/ffyw
2022-02-28,AVP: Alien vs. Predator,2004,https://boxd.it/2atU
2022-02-28,The Dead Zone,1983,https://boxd.it/1U6g
2022-02-28,Equilibrium,2002,https://boxd.it/211s
2022-02-28,Tron,1982,https://boxd.it/2b9w
2022-02-28,Star Wars: The Clone Wars,2008,https://boxd.it/1Sly
2022-02-28,Godzilla,1998,https://boxd.it/29fW
2022-02-28,Hardcore Henry,2015,https://boxd.it/aAIM
2022-02-28,The Faculty,1998,https://boxd.it/1Z5C
2022-02-28,The Dark Tower,2017,https://boxd.it/bU66
2022-02-28,Teenage Mutant Ninja Turtles,2014,https://boxd.it/3oAs
2022-02-28,I Am Mother,2019,https://boxd.it/ihNE
2022-02-28,The Island,2005,https://boxd.it/28qE
2022-02-28,Demolition Man,1993,https://boxd.it/1XVm
2022-02-28,After Earth,2013,https://boxd.it/2TSg
2022-02-28,John Carter,2012,https://boxd.it/FQ2
2022-02-28,Creature from the Black Lagoon,1954,https://boxd.it/1UXk
2022-02-28,Invasion of the Body Snatchers,1956,https://boxd.it/1TAa
2022-02-28,Star Trek II: The Wrath of Khan,1982,https://boxd.it/2b0u
2022-02-28,Strange Days,1995,https://boxd.it/2aGO
2022-02-28,Westworld,1973,https://boxd.it/26RS
2022-02-28,Planet of the Apes,2001,https://boxd.it/29ps
2022-02-28,Serenity,2005,https://boxd.it/1Km4
2022-02-28,Beyond the Black Rainbow,2010,https://boxd.it/EzY
2022-02-28,Slither,2006,https://boxd.it/1Zks
2022-02-28,Time Bandits,1981,https://boxd.it/19KI
2022-02-28,Altered States,1980,https://boxd.it/1TBi
2022-02-28,The Running Man,1987,https://boxd.it/29q6
2022-02-28,Predators,2010,https://boxd.it/1d9m
2022-02-28,Predator 2,1990,https://boxd.it/2aY4
2022-02-28,Resident Evil: Apocalypse,2004,https://boxd.it/28yS
2022-02-28,Teenage Mutant Ninja Turtles,1990,https://boxd.it/28FY
2022-02-28,THX 1138,1971,https://boxd.it/29Ww
2022-02-28,Phantasm,1979,https://boxd.it/1YaG
2022-02-28,Kung Fury,2015,https://boxd.it/7mSM
2022-02-28,Waterworld,1995,https://boxd.it/1XLG
2022-02-28,The Thing,2011,https://boxd.it/eS6
2022-02-28,The Animatrix,2003,https://boxd.it/qH0
2022-02-28,Moonraker,1979,https://boxd.it/29MQ
2022-02-28,Weird Science,1985,https://boxd.it/1T1O
2022-02-28,Cowboy Bebop: The Movie,2001,https://boxd.it/1Uc4
2022-02-28,Resident Evil: Extinction,2007,https://boxd.it/20Oy
2022-02-28,Wild Wild West,1999,https://boxd.it/205y
2022-02-28,The Blob,1988,https://boxd.it/1YgY
2022-02-28,Batman: Under the Red Hood,2010,https://boxd.it/11eE
2022-02-28,Total Recall,2012,https://boxd.it/Ro
